A,B,C,D
G8348,06:55 (当日),08:15 (当日),1小时20分钟
G7750,07:02 (当日),08:41 (当日),1小时39分钟
G7722,07:39 (当日),09:11 (当日),1小时32分钟
G8332,08:04 (当日),09:17 (当日),1小时18分钟
G8333,08:04 (当日),09:17 (当日),1小时18分钟
G8334,08:40 (当日),10:21 (当日),1小时45分钟
G8331,08:40 (当日),10:21 (当日),1小时45分钟
G8394,09:01 (当日),09:51 (当日),0小时52分钟
G8322,10:04 (当日),11:24 (当日),1小时20分钟
C3673,10:04 (当日),11:24 (当日),1小时24分钟
G2596,10:18 (当日),11:51 (当日),1小时35分钟
G8336,10:29 (当日),11:39 (当日),1小时14分钟
G8337,10:29 (当日),11:39 (当日),1小时14分钟
G7426,11:09 (当日),12:40 (当日),1小时31分钟
G7742,12:18 (当日),13:51 (当日),1小时33分钟
G8340,12:20 (当日),13:26 (当日),1小时8分钟
G8341,12:20 (当日),13:26 (当日),1小时8分钟
G8396,12:48 (当日),13:31 (当日),0小时45分钟
G636,13:12 (当日),14:09 (当日),0小时59分钟
G8324,13:24 (当日),14:37 (当日),1小时13分钟
G8338,13:51 (当日),15:18 (当日),1小时29分钟
G8335,13:51 (当日),15:18 (当日),1小时29分钟
G3066,14:29 (当日),15:34 (当日),1小时7分钟
G2568,14:47 (当日),16:12 (当日),1小时25分钟
G8326,15:03 (当日),16:23 (当日),1小时20分钟
C3685,15:09 (当日),16:23 (当日),1小时16分钟
G8343,15:32 (当日),17:05 (当日),1小时37分钟
G3156,16:03 (当日),17:35 (当日),1小时34分钟
G3157,16:03 (当日),17:35 (当日),1小时34分钟
C3689,16:10 (当日),17:10 (当日),1小时3分钟
C3688,16:10 (当日),17:10 (当日),1小时3分钟
G7424,16:11 (当日),17:52 (当日),1小时41分钟
C3677,16:29 (当日),17:49 (当日),1小时25分钟
G8398,16:30 (当日),17:28 (当日),1小时4分钟
G8328,16:36 (当日),17:49 (当日),1小时13分钟
G8345,17:23 (当日),18:36 (当日),1小时17分钟
G2694,18:00 (当日),19:26 (当日),1小时28分钟
G2691,18:00 (当日),19:26 (当日),1小时28分钟
G2698,18:50 (当日),20:22 (当日),1小时36分钟
G8330,18:52 (当日),20:05 (当日),1小时13分钟
G7076,20:21 (当日),21:20 (当日),1小时3分钟
G7077,20:21 (当日),21:20 (当日),1小时3分钟
G7406,20:33 (当日),21:46 (当日),1小时17分钟
G7144,20:49 (当日),21:56 (当日),1小时10分钟
